image,position
frame1.png,7
frame2.png,6
frame3.png,4
frame4.png,1
frame5.png,6
frame6.png,4
frame7.png,7
frame8.png,0
frame9.png,7
frame10.png,7
frame11.png,7
frame12.png,8
frame13.png,6
frame14.png,6
frame15.png,7
frame16.png,7
frame17.png,0
frame18.png,7
frame19.png,1
frame20.png,7
frame21.png,7
frame22.png,1
frame23.png,1
frame24.png,1
frame25.png,1
frame26.png,3
frame27.png,5
frame28.png,5
frame29.png,4
frame30.png,4
frame31.png,7
frame32.png,1
frame33.png,1
frame34.png,0
frame35.png,3
frame36.png,3
frame37.png,3
frame38.png,4
frame39.png,1
frame40.png,3
frame41.png,3
frame42.png,6
frame43.png,6
frame45.png,1
frame46.png,4
frame47.png,5
frame48.png,4
frame49.png,4
frame50.png,4
frame51.png,5
frame52.png,5
frame53.png,4
frame54.png,4
frame55.png,3
frame56.png,4
frame58.png,4
frame59.png,2
frame60.png,4
frame61.png,1
frame62.png,4
frame63.png,7
frame64.png,4
frame65.png,4
frame66.png,3
frame67.png,4
frame68.png,1
frame69.png,4
frame71.png,3
frame72.png,4
frame74.png,5
frame75.png,4
frame76.png,1
frame77.png,4
frame78.png,4
frame79.png,4
frame80.png,4
frame81.png,4
frame82.png,4
frame83.png,4
frame84.png,1
frame85.png,4
frame87.png,3
frame88.png,4
frame90.png,4
frame91.png,0
frame92.png,2
frame93.png,5
frame94.png,3
frame95.png,5
frame96.png,1
frame97.png,5
frame98.png,0
frame99.png,1
frame100.png,4
