image,mask_count
frame1.png,5
frame2.png,3
frame4.png,4
frame5.png,3
frame6.png,3
frame7.png,3
frame8.png,3
frame9.png,3
frame10.png,1
frame11.png,4
frame12.png,1
frame13.png,4
frame14.png,4
frame15.png,4
frame16.png,3
frame17.png,3
frame18.png,2
frame19.png,1
frame20.png,1
frame19.png,1
frame20.png,1
frame21.png,5
frame22.png,4
frame23.png,3
frame24.png,4
frame25.png,5
frame26.png,4
frame27.png,4
frame28.png,4
frame29.png,4
frame30.png,4
frame31.png,3
frame32.png,2
frame33.png,4
frame34.png,4
frame35.png,2
frame36.png,1
frame38.png,3
frame39.png,1
frame40.png,4
frame41.png,3
frame42.png,1
frame43.png,1
frame44.png,4
frame45.png,4
frame46.png,2
frame47.png,1
frame48.png,1
frame49.png,1
frame50.png,1
frame51.png,4
frame52.png,3
frame53.png,3
frame54.png,4
frame55.png,3
frame56.png,2
frame57.png,2
frame58.png,2
frame59.png,2
